avg,year,month
233100,2003,1
241000,2003,4
248100,2003,7
256000,2003,10
262900,2004,1
265300,2004,4
274000,2004,7
286300,2004,10
288500,2005,1
287800,2005,4
294600,2005,7
294200,2005,10
305300,2006,1
302600,2006,4
308100,2006,7
299600,2006,10
322100,2007,1
310100,2007,4
301200,2007,7
305800,2007,10
290400,2008,1
304200,2008,4
285100,2008,7
276600,2008,10
257000,2009,1
273400,2009,4
274100,2009,7
272900,2009,10
275300,2010,1
268800,2010,4
266000,2010,7
278000,2010,10
268100,2011,1
267600,2011,4
263000,2011,7
259700,2011,10
278000,2012,1
282700,2012,4
294500,2012,7
297700,2012,10
307400,2013,1
320400,2013,4
324400,2013,7
334400,2013,10
331400,2014,1
340600,2014,4
340400,2014,7
369400,2014,10
348000,2015,1
339700,2015,4
347400,2015,7
366700,2015,10
357000,2016,1
357900,2016,4
358800,2016,7
364900,2016,10
374800,2017,1
376900,2017,4
373200,2017,7
399700,2017,10
374600,2018,1
378400,2018,4
392900,2018,7
384000,2018,10
375500,2019,1
376700,2019,4
382700,2019,7
384600,2019,10
383000,2020,1
374500,2020,4
397800,2020,7
403900,2020,10
418600,2021,1
440600,2021,4
473000,2021,7
497300,2021,10
514100,2022,1
527500,2022,4
547800,2022,7
552600,2022,10
